,Make,Model,Price,Year
0,Porsche, 911 992 Carrera S Coupe 2dr PDK 8sp 3.0TT [MY21],,2020
1,BMW, i8 I12 LCI Coupe 2dr Auto 6sp AWD 1.5T/105kW Hybrid,,2019
2,Land Rover, Defender 90 Adventure Wagon 3dr Man 6sp 4x4 2.2DT [MY16],10999000,2015
3,Porsche, 911 997 Series II Carrera Cabriolet 2dr PDK 7sp 3.6i [MY09],,2009
4,Porsche, Cayenne 9YB Turbo Coupe 5dr Tiptronic 8sp 4x4 4.0TT [MY20],,2020
5,Mercedes-Benz, C-Class C205 C63 AMG S Coupe 2dr SPEEDSHIFT MCT 9sp 4.0TT,,2019
6,Maserati, Levante M161 Luxury Wagon 5dr Spts Auto 8sp Q4 3.0DT [MY17],10999000,2017
7,BMW, M4 F82 LCI Competition Coupe 2dr M-DCT 7sp 3.0TT,11999000,2019
8,Ferrari, 348 sp Convertible 2dr Man 5sp 3.4i,21999000,2004
9,Porsche, Cayenne 9YA Wagon 5dr Tiptronic 8sp 4x4 3.0T [MY20],13999000,2019
10,Porsche, Cayenne 9YA Turbo Wagon 5dr Tiptronic 8sp 4x4 4.0TT [MY19],,2018
11,Mercedes-Benz, GLC-Class X253 GLC63 AMG S Wagon 5dr SPEEDSHIFT MCT 9sp 4MATIC+ 4.0TT,14499000,2019
12,Lexus," LC URZ100R LC500 Coupe 2dr Spts Auto 10sp, 5.0i [Mar]",,2017
13,BMW, X5 G05 xDrive30d M Sport Wagon 5dr Steptronic 8sp 4x4 3.0DT [Jul],10999000,2019
14,BMW, 7 Series G12 750Li Sedan 4dr Steptronic 8sp 4.4TT,11999000,2016
15,Tesla, Model S 85 Sportback 5dr Reduction Gear 1sp AC270kW [Jun],6999000,2014
16,Mercedes-Benz, C-Class W205 C63 AMG S Sedan 4dr SPEEDSHIFT MCT 7sp 4.0TT [Jun],10499000,2017
17,Lamborghini, Gallardo L140 LP550-2 Coupe 2dr E-Gear 6sp 5.2i,24999000,2012
18,Mercedes-Benz, S-Class W223 S450 Sedan 4dr 9G-TRONIC 9sp 4MATIC 3.0TeC/16kW,26999000,2021
19,Porsche, Macan 95B GTS Wagon 5dr PDK 7sp AWD 3.0TT [MY18],10999000,2017
20,Mercedes-Benz, C-Class W205 C63 AMG S Sedan 4dr SPEEDSHIFT MCT 9sp 4.0TT [Jun],15999000,2019
21,BMW, i8 I12 Coupe 2dr Auto 6sp AWD 1.5T/96kW Hybrid [Nov],17999000,2014
22,HARLEY DAVIDSON, FLHTCU ULTRA CLASSIC,2499000,2012
23,McLaren, 600LT P13 Coupe 2dr SSG 7sp 3.8TT [MY19],46599000,2019
24,Mazda, RX-8 FE Series 2 Luxury Coupe 4dr Spts Auto 6sp 13Bi Rotary (Sat Nav) [Jul],4999000,2008
25,Mercedes-Benz, G-Class W463 G63 AMG Wagon 5dr SPEEDSHIFT 9sp 4MATIC 4.0TT [Jun],30999000,2018
26,Ferrari, 612 Scaglietti F137 Coupe 2dr Seq. Mac 6sp 5.7i,37499000,2009
27,Ferrari, 612 Scaglietti F137 Coupe 2dr Seq. Mac 6sp 5.7i,19999000,2006
28,Bentley, Continental 3S GT Coupe 2dr DCT 8sp 4x4 6.0TT [MY19],41999000,2019
29,McLaren, GT MA3 Coupe 2dr SSG 7sp 4.0TT [MY20],39999000,2020
30,Ferrari, 599 Fiorano GTB Coupe 2dr Seq. Mac 6sp 6.0i [Jul],26999000,2006
31,Ferrari, 488 Pista Spider F142 Convertible 2dr DCT 7sp 3.9TT [Jun],99099000,2019
32,Ferrari, 458 Speciale F142 Coupe 2dr DCT 7sp 4.5i,69999000,2015
33,Land Rover, Range Rover L405 SDV8 Vogue SE Wagon 5dr Spts Auto 8sp 4x4 4.4DTT [MY19],18999000,2018
34,Porsche, Panamera 971 Turbo S E-Hybrid Sedan 4dr PDK 8sp AWD 4.0TT/100kW Hybrid [MY18],29999000,2017
35,Porsche, 911 996 GT2 Coupe 2dr Man 6sp 3.6TT [MY03],26999000,2004
36,Ferrari, F430 F136 Scuderia Coupe 2dr Seq. Mac 6sp 4.3i,54999000,2008
37,McLaren, 675LT Coupe 2dr SSG 7sp 3.8TT [Jul],49999000,2015
38,Porsche, Carrera GT,,2005
39,Ferrari, Enzo,,2004
40,Maserati, MC12,,2005
41,McLaren, 650S Spider 2dr SSG 7sp 3.8TT [MY15],27999000,2014
42,NA,Austin Healey 3000 Mk III Convertible 2dr Man O/Drv 4sp 3000,10999000,1967
43,Ferrari, 330 GT 2+2 Coupe 2dr Man 5sp 4.0,,1964
44,Ferrari, Testarossa Monospecchio,47999000,1986
45,NA,Cooper BRM F2,,
46,Ferrari, 328 GTS Coupe 2dr Man 5sp 3.2i,22999000,1987
47,Ferrari, F355 Spider Convertible 2dr Man 6sp 3.5i,29999000,1997
48,Mercedes-Benz, 190SL R121 Roadster 2dr Man 4sp 1.9,31999000,1960
49,Mercedes-Benz, 280SL Pagoda,,1970
50,NA,Jaguar E-Type 4.2 F H Coupe,,1964
51,Porsche, 356SC Coupe 2dr Man 4sp 1600,35999000,1964
52,Lamborghini, Miura P400 S,,1969
53,Porsche,959,219999000,1987
